model-1693255432, 1693255558.548, 0.64, 0.23, 0.54, 0.23
model-1693255432, 1693255559.444, 0.58, 0.24, 0.6, 0.23
model-1693255432, 1693255560.273, 0.68, 0.22, 0.65, 0.23
model-1693255432, 1693255561.136, 0.58, 0.24, 0.51, 0.25
model-1693255432, 1693255561.984, 0.62, 0.23, 0.7, 0.22
model-1693255432, 1693255562.842, 0.59, 0.23, 0.59, 0.23
model-1693255432, 1693255563.855, 0.58, 0.23, 0.61, 0.23
model-1693255432, 1693255564.748, 0.58, 0.24, 0.66, 0.23
model-1693255432, 1693255565.616, 0.58, 0.24, 0.7, 0.22
model-1693255432, 1693255566.46, 0.66, 0.22, 0.64, 0.22
model-1693255432, 1693255567.325, 0.6, 0.23, 0.6, 0.24
model-1693255432, 1693255568.19, 0.63, 0.24, 0.63, 0.22
model-1693255432, 1693255569.087, 0.68, 0.22, 0.64, 0.23
model-1693255432, 1693255569.987, 0.59, 0.23, 0.59, 0.24
model-1693255432, 1693255571.03, 0.63, 0.22, 0.59, 0.24
model-1693255432, 1693255571.997, 0.65, 0.22, 0.63, 0.23
model-1693255432, 1693255572.906, 0.63, 0.23, 0.61, 0.22
model-1693255432, 1693255573.802, 0.55, 0.24, 0.62, 0.23
model-1693255432, 1693255574.764, 0.58, 0.23, 0.6, 0.25
model-1693255432, 1693255575.685, 0.56, 0.24, 0.58, 0.25
model-1693255432, 1693255576.756, 0.59, 0.23, 0.66, 0.22
model-1693255432, 1693255577.806, 0.55, 0.26, 0.62, 0.23
model-1693255432, 1693255578.792, 0.56, 0.24, 0.64, 0.23
model-1693255432, 1693255579.784, 0.61, 0.24, 0.67, 0.22
model-1693255432, 1693255580.723, 0.57, 0.25, 0.64, 0.22
model-1693255432, 1693255581.644, 0.61, 0.24, 0.65, 0.23
model-1693255432, 1693255582.6, 0.69, 0.23, 0.57, 0.25
model-1693255432, 1693255583.712, 0.57, 0.24, 0.62, 0.24
model-1693255432, 1693255584.912, 0.62, 0.22, 0.66, 0.22
model-1693255432, 1693255586.026, 0.58, 0.23, 0.55, 0.25
model-1693255432, 1693255587.09, 0.74, 0.2, 0.68, 0.22
model-1693255432, 1693255588.151, 0.62, 0.24, 0.68, 0.22
model-1693255432, 1693255589.123, 0.64, 0.22, 0.64, 0.22
model-1693255432, 1693255590.078, 0.66, 0.22, 0.75, 0.2
model-1693255432, 1693255591.069, 0.59, 0.24, 0.69, 0.23
model-1693255432, 1693255591.958, 0.61, 0.23, 0.62, 0.23
model-1693255432, 1693255592.855, 0.67, 0.21, 0.64, 0.22
model-1693255432, 1693255593.96, 0.64, 0.23, 0.63, 0.24
model-1693255432, 1693255594.853, 0.63, 0.24, 0.64, 0.21
model-1693255432, 1693255595.869, 0.55, 0.25, 0.61, 0.22
model-1693255432, 1693255596.984, 0.58, 0.24, 0.56, 0.24
model-1693255432, 1693255598.084, 0.59, 0.24, 0.53, 0.26
model-1693255432, 1693255599.083, 0.6, 0.24, 0.57, 0.26
model-1693255432, 1693255600.198, 0.62, 0.23, 0.57, 0.23
model-1693255432, 1693255601.27, 0.64, 0.22, 0.64, 0.22
model-1693255432, 1693255602.489, 0.56, 0.25, 0.55, 0.24
model-1693255432, 1693255603.75, 0.58, 0.23, 0.63, 0.23
model-1693255432, 1693255605.041, 0.65, 0.23, 0.71, 0.21
model-1693255432, 1693255606.024, 0.6, 0.23, 0.7, 0.22
model-1693255432, 1693255607.103, 0.62, 0.23, 0.62, 0.23
model-1693255432, 1693255608.211, 0.59, 0.23, 0.62, 0.24
model-1693255432, 1693255609.244, 0.52, 0.25, 0.64, 0.22
model-1693255432, 1693255610.291, 0.59, 0.22, 0.59, 0.24
model-1693255432, 1693255611.186, 0.58, 0.24, 0.69, 0.22
model-1693255432, 1693255612.118, 0.62, 0.23, 0.68, 0.22
model-1693255432, 1693255613.048, 0.67, 0.22, 0.66, 0.23
model-1693255432, 1693255613.993, 0.66, 0.23, 0.71, 0.22
model-1693255432, 1693255614.94, 0.66, 0.23, 0.73, 0.21
model-1693255432, 1693255615.824, 0.63, 0.23, 0.63, 0.23
